question,answer,CB001,SJ001,FR001,SO001
Select the one that you are instantly and instinctively drawn towards,grass,0,0,0,0
Select the one that you are instantly and instinctively drawn towards,flowers,0,0,0,0
Select the one that you are instantly and instinctively drawn towards,sunset,0,0,0,0
What is your age group?,~ 18,0,0,0,0
What is your age group?,18 ~ 24,0,0,0,0
What is your age group?,25 ~ 29,0,0,0,0
What is your age group?,30 ~ 39,0,0,0,0
What is your age group?,40 ~ 49,0,0,0,0
What is your age group?,50 ~ 59,0,0,0,0
What is your age group?,60 ~,0,0,0,0
How would you describe yourself?,Cool & Sophisticated,0,0,0,0
How would you describe yourself?,Lovely & Cheerful,0,0,0,0
How would you describe yourself?,Classy & Mature,0,0,0,0
Which do you value the most in your life?,Time spent studying or working,0,0,0,0
Which do you value the most in your life?,Quality time with loved ones and friends,0,0,0,0
Which do you value the most in your life?,When devoting myself to a hobby,0,0,0,0
product,Cherry Blossom,10,0,0,0
product,Sensual Jasmine,0,10,0,0
product,French Rose,0,0,10,0
product,Sweet Osmanthus,0,0,0,10
